eCell_Id,RRC Setup Param1,RRC Setup Param2,Initial ERAB Establishment Param1,Initial ERAB Establishment Param2,Added ERAB Establishment Param1,Added ERAB Establishment Param2,S1 Setup Param1,S1 Setup Param2,Accessibility
NR_eCell_1,160597,160650,174901,174999,684,684,160587,160597,99.99
NR_eCell_2,295681,295640,259667,260085,1279,1279,295653,295681,99.58
NR_eCell_3,185084,184899,197707,197799,782,782,185083,185084,99.76
NR_eCell_4,284459,284410,277712,278033,1691,1691,284401,284459,99.63
NR_eCell_5,27950,27959,29790,29808,77,77,27947,27950,99.99
NR_eCell_6,17182,17183,21425,21430,15,15,17182,17182,100
NR_eCell_7,32473,32482,39478,39489,149,149,32472,32473,100
NR_eCell_8,25260,25337,21906,22130,366,367,25163,25260,99.49
NR_eCell_9,20703,20725,20331,20390,377,377,20694,20703,99.92
NR_eCell_10,21863,21903,18956,19120,413,413,21842,21863,99.69
NR_eCell_11,1149,1153,1482,1495,5,5,1149,1149,99.92
NR_eCell_12,7619,7645,9730,9779,29,29,7614,7619,99.87
NR_eCell_13,60379,60387,85989,86068,340,341,60376,60379,98.88
NR_eCell_14,39322,39389,51468,51590,318,318,39308,39322,99.69
NR_eCell_15,6865,6865,8819,8831,118,118,6863,6865,99.95
NR_eCell_16,14082,14083,17763,17764,43,43,14082,14082,100
NR_eCell_17,12156,12158,16119,16122,39,39,12156,12156,99.99
NR_eCell_18,91897,92093,99482,99560,238,238,91887,91897,99.92
NR_eCell_19,85443,85461,103973,104403,967,967,85428,85443,99.84
NR_eCell_20,67028,67048,92674,92758,547,547,67023,67027,99.98
NR_eCell_21,192057,192026,207306,207506,1228,1229,191889,192057,99.88
NR_eCell_22,2533,2535,3392,3398,11,11,2532,2533,99.91
NR_eCell_23,1123,1124,1203,1203,3,3,1123,1123,99.97
NR_eCell_24,15419,15421,16429,16432,46,46,15413,15419,100
NR_eCell_25,2233,2235,2579,2712,19,19,2233,2233,98.12
NR_eCell_26,3255,3255,4196,4197,24,24,3252,3255,99.98
NR_eCell_27,21277,21282,22679,22748,63,63,21252,21277,99.91
NR_eCell_28,133157,133204,151458,151723,639,639,133115,133157,99.94
NR_eCell_29,149736,149821,181478,181592,921,921,149733,149736,99.97
NR_eCell_30,36656,36693,45334,45407,159,159,36649,36656,100
NR_eCell_31,420216,419886,486264,487159,3155,3160,420166,420216,99.72
NR_eCell_32,302958,302993,365742,366213,2461,2463,302918,302959,99.84
NR_eCell_33,99532,99622,115227,115498,699,700,99522,99532,99.77
NR_eCell_34,35973,35986,41343,41354,122,122,35965,35973,99.98
NR_eCell_35,32651,32661,40117,40136,217,217,32634,32651,99.97
NR_eCell_36,3233,3238,3938,3944,23,23,3218,3233,99.88
NR_eCell_37,52252,52275,59268,60054,219,219,52228,52252,99.52
NR_eCell_38,40291,40302,46653,46690,154,155,40282,40291,99.98
NR_eCell_39,5572,5577,6259,6284,46,46,5572,5572,99.94
NR_eCell_40,199839,201380,184166,192262,5586,5594,199481,199839,98.37
NR_eCell_41,26776,26844,32750,33509,906,907,26767,26776,99.09
NR_eCell_42,2571,2576,2212,2233,71,71,2564,2571,99.7
NR_eCell_43,4283,4286,3581,3587,14,14,4283,4283,99.99
NR_eCell_44,3605,3606,3760,3776,221,221,3604,3605,99.88
NR_eCell_45,6082,6083,5942,5950,77,77,6076,6082,99.98
NR_eCell_46,617,618,455,457,32,32,616,617,99.94
NR_eCell_47,38253,38266,49189,49240,547,547,38249,38253,99.96
NR_eCell_48,27792,27807,27395,27413,165,165,27781,27792,100
NR_eCell_49,25658,25663,31057,31072,217,217,25658,25658,99.87
NR_eCell_50,218,218,203,203,2,2,218,218,100
NR_eCell_51,1539,1547,1352,1358,22,22,1532,1539,99.98
NR_eCell_52,40584,40596,49207,49363,148,148,40579,40584,99.95
NR_eCell_53,5533,5535,6189,6314,26,26,5532,5533,99.28
NR_eCell_54,3390,3392,4191,4195,11,11,3390,3390,99.99
NR_eCell_55,85032,84940,94452,94756,502,503,85024,85032,99.74
NR_eCell_56,174734,174770,215589,215720,1490,1491,174724,174734,99.91
NR_eCell_57,113858,113865,138474,138529,697,697,113842,113857,99.67
NR_eCell_58,72448,72463,94429,94529,576,576,72442,72448,99.96
NR_eCell_59,11585,11592,13780,13812,391,392,11583,11585,99.91
NR_eCell_60,3173,3173,3482,3512,138,139,3173,3173,99.7
NR_eCell_61,4463,4464,5232,5249,263,263,4462,4463,99.88
NR_eCell_62,81090,81098,111175,111197,368,368,81090,81090,100
NR_eCell_63,59708,59740,77039,77090,373,373,59704,59708,99.98
NR_eCell_64,49392,49498,67000,67089,327,327,49390,49392,100
NR_eCell_65,150796,150818,206530,206645,1319,1321,150778,150796,99.93
NR_eCell_66,106483,106469,147486,147628,1087,1087,106476,106483,99.94
NR_eCell_67,116485,116642,155993,156326,963,963,116467,116485,99.62
NR_eCell_68,9269,9278,12591,12621,440,440,9265,9269,99.89
NR_eCell_69,4166,4167,5397,5406,157,157,4159,4166,99.91
NR_eCell_70,3910,3946,4472,4561,178,178,3891,3910,98.98
